iter	RMSE
0	24.45842356
1	20.95674547
2	18.22676392
3	16.17626798
4	14.17880266
5	12.39906598
6	11.17149373
7	9.922428137
8	8.713188523
9	7.598923782
10	6.754749064
11	6.058490226
12	5.47601472
13	4.850019994
14	4.416700104
15	4.194770378
16	3.835930698
17	3.458986367
18	3.09476196
19	2.840206398
20	2.501136532
21	2.291247531
22	2.001744562
23	1.791424891
24	1.612672602
25	1.533910389
26	1.432123195
27	1.271386694
28	1.107275217
29	0.9983928493
30	0.9716630866
31	0.8572694794
32	0.7447554556
33	0.6647641158
34	0.5763534644
35	0.5098394363
36	0.4570753275
37	0.4399299714
38	0.4117596393
39	0.3707875086
40	0.3375633115
41	0.2928377555
42	0.2626322288
43	0.2543554149
44	0.2217695706
45	0.1971514607
46	0.1751659354
47	0.1663756606
48	0.1458843197
49	0.1411659604
50	0.1289221045
51	0.1166947435
52	0.1145677522
53	0.1016673466
54	0.09130487691
55	0.08008226825
56	0.07144844733
57	0.06231814143
58	0.05504724682
59	0.04789543125
60	0.04299144436
61	0.03794576069
62	0.0354829409
63	0.03128740225
64	0.03053526622
65	0.02885078307
66	0.02543208865
67	0.0231727141
68	0.02169033696
69	0.01906159637
70	0.01797844576
71	0.01576668059
72	0.0142130186
73	0.01268305502
74	0.01113666928
75	0.009978691494
76	0.008856813722
77	0.007927983639
78	0.007725224956
79	0.006805033256
80	0.006378571343
81	0.005705286485
82	0.005291251529
83	0.004937916458
84	0.004411713961
85	0.004336019644
86	0.00386063426
87	0.003417293865
88	0.003046274003
89	0.00270018545
90	0.002396046505
91	0.002131448512
92	0.001826471742
93	0.001613180385
94	0.001581837617
95	0.001394110042
96	0.001336618823
97	0.001194269603
98	0.001068709579
99	0.0009306842058
100	0.0008131920156
101	0.0007148891006
102	0.0006574545542
103	0.0006031097024
104	0.0005401574331
105	0.000474930071
106	0.0004656350573
107	0.0004130937659
108	0.0003624475402
109	0.000314392694
110	0.0002808973442
111	0.000252400167
112	0.0002244875594
113	0.0001985113442
114	0.0001740775796
115	0.0001583589264
116	0.0001378402209
117	0.0001296588063
118	0.0001138705031
119	0.0001015010447
120	8.979922544e-05
121	7.923144805e-05
122	6.988615857e-05
123	6.817280254e-05
124	5.979035322e-05
125	5.841941559e-05
126	5.257692106e-05
127	4.880888772e-05
128	4.811213063e-05
129	4.209665362e-05
130	3.732804745e-05
131	3.305045924e-05
132	3.018948047e-05
133	2.688769633e-05
134	2.351487185e-05
135	2.096439074e-05
136	1.842597909e-05
137	1.646430601e-05
138	1.458816313e-05
139	1.305015091e-05
140	1.133374979e-05
141	1.066964202e-05
142	1.025625525e-05
143	9.535187486e-06
144	8.274001373e-06
145	7.363477401e-06
146	6.550836684e-06
